FID,ap_lp,apn,number_of_,objectid,shape_area,shape_leng,situs_city,situs_hous,situs_ho_2,situs_stat,situs_stre,situs_st_2,situs_st_3,situs_unit,situs_zip_,tax_rate_a
213057,LP,26906059,1.000000000000000,327918.000000000000000,1259.193997797291104,172.667047612273308,SANTA CLARA,735,,CA,,HARRISON,ST,,95050-4844,7000.000000000000000
213067,AP,25959205,1.000000000000000,470432.000000000000000,3122.636897007521839,314.306556055763792,SAN JOSE,38,,CA,N,ALMADEN,BL,1406,95110,17111.000000000000000
213108,LP,20911079,1.000000000000000,387834.000000000000000,701.499159144232749,153.893355362257267,SUNNYVALE,472,,CA,,BRYAN,AV,,94086,9002.000000000000000
213139,AP,12048017,1.000000000000000,479963.000000000000000,165.678042821181378,56.712575930484277,PALO ALTO,707,,CA,,BRYANT,ST,303,94301-2507,6001.000000000000000
213158,LP,15829062,1.000000000000000,215108.000000000000000,783.693693310076242,120.676645005032441,MOUNTAIN VIEW,292,,CA,,MERCY,ST,,94041-2202,5000.000000000000000
213175,LP,,0.000000000000000,410830.000000000000000,13119.258738180975342,1063.456451363255383,,,,,,,,,,0.000000000000000
213193,AP,15850126,1.000000000000000,469175.000000000000000,85.100822568448621,37.913031658283543,MOUNTAIN VIEW,500,,CA,W,MIDDLEFIELD,RD,126,94043-3424,5010.000000000000000
213227,LP,20924030,1.000000000000000,319090.000000000000000,1034.578819621017374,135.983468004923168,SUNNYVALE,392,,CA,E,MC KINLEY,AV,,94086-6239,9002.000000000000000
213245,LP,12431064,1.000000000000000,141871.000000000000000,1106.892859003690091,153.605300410094969,PALO ALTO,423,,CA,,OXFORD,AV,,94306-1152,6001.000000000000000
213246,LP,14815016,3.000000000000000,6043.000000000000000,1116.536213078895344,146.632166679779203,MOUNTAIN VIEW,280,,CA,,SAN ANTONIO,RD,,94040-1212,5009.000000000000000
213272,LP,14720037,1.000000000000000,289089.000000000000000,1034.244751385477912,133.975373883073530,PALO ALTO,335,,CA,,DIABLO,CT,,94306-4512,6012.000000000000000
213330,LP,15823075,1.000000000000000,77736.000000000000000,1714.046225577799987,176.558700245159685,MOUNTAIN VIEW,596,,CA,,MERCY,ST,,94041-2023,5000.000000000000000
213347,LP,43412012,1.000000000000000,12642.000000000000000,812.967836825510176,135.578655513527849,SAN JOSE,1274,,CA,,PALM,ST,,95110-3327,17193.000000000000000
213415,LP,14734090,1.000000000000000,130157.000000000000000,825.642405403189514,121.820744531054771,MOUNTAIN VIEW,266,,CA,,THOMPSON,AV,,94043-4215,5010.000000000000000
213421,LP,20445059,1.000000000000000,305776.000000000000000,619.160115148644422,134.999639341636964,SUNNYVALE,219,,CA,,ROOSEVELT,AV,,94086-5114,9002.000000000000000
213495,LP,70653113,1.000000000000000,445122.000000000000000,99.532029038089320,41.187310637843673,SAN JOSE,385,,CA,,READING,PL,,95123,17060.000000000000000
213498,LP,26128009,1.000000000000000,94990.000000000000000,884.866625457090322,146.191071549729315,SAN JOSE,1041,,CA,,EUGENE,AV,,95126-3006,17108.000000000000000
213516,LP,26140023,1.000000000000000,217974.000000000000000,650.264420134361217,107.917670684262845,SAN JOSE,236,,CA,,LINCOLN,AV,,95126-4814,17107.000000000000000
213531,LP,69001005,1.000000000000000,211710.000000000000000,4865.321897165719747,303.173435258670679,SAN JOSE,,,CA,,BLOSSOM HILL,RD,,95123,17063.000000000000000
213567,LP,70653028,1.000000000000000,445803.000000000000000,130.288216883536165,47.005239964861673,SAN JOSE,421,,CA,,ELLICOTT,LP,,95123,17060.000000000000000
213588,LP,13232026,1.000000000000000,281939.000000000000000,882.978175963330386,130.310942684807600,PALO ALTO,375,,CA,,OLIVE,AV,,94306-2224,6001.000000000000000
213657,LP,13217019,1.000000000000000,213769.000000000000000,1018.514373603285435,134.489517208745809,PALO ALTO,2461,,CA,,RAMONA,ST,,94301-4235,6001.000000000000000
213672,LP,20906076,0.000000000000000,362510.000000000000000,629.556135145369240,104.810122473248384,,,,,,,,,,9169.000000000000000
213674,LP,72616015,1.000000000000000,30607.000000000000000,1042.451806492397509,135.000193053886591,MORGAN HILL,405,,CA,,CALLE ATAVIO,,,95037-3709,4003.000000000000000
213676,LP,23007048,1.000000000000000,459046.000000000000000,1078.408631009357350,154.732609510597911,SANTA CLARA,640,,CA,,HARRISON,ST,,95050-4314,7000.000000000000000
213712,AP,43435016,1.000000000000000,484697.000000000000000,518.863293593052049,163.171301471672876,SAN JOSE,290,,CA,,STONEGATE,CL,,95110-3532,17193.000000000000000
213722,LP,15328027,3.000000000000000,98096.000000000000000,988.357387950388784,144.914207984580884,MOUNTAIN VIEW,916,,CA,,WASHINGTON,ST,,94043-4626,5000.000000000000000
213727,AP,14819045,1.000000000000000,462317.000000000000000,195.372107608290634,57.431059077840608,MOUNTAIN VIEW,2255,,CA,,SHOWERS,DR,151,94040,5009.000000000000000
213738,LP,12433062,0.000000000000000,101801.000000000000000,385.153355785983081,154.189058906633193,,,,,,,,,,6052.000000000000000
213770,LP,21665009,1.000000000000000,404838.000000000000000,98.695628292081523,41.496079675297374,SANTA CLARA,3030,,CA,,BOYTER,PL,104,95051,7079.000000000000000
213777,LP,49709007,1.000000000000000,39489.000000000000000,1396.394526961198153,154.571242515804954,SAN JOSE,13070,,CA,,PFEIFLE,AV,,95111-3325,17031.000000000000000
213817,LP,12012007,1.000000000000000,89141.000000000000000,978.258404490408907,140.294768484895599,PALO ALTO,110,,CA,,WAVERLEY,ST,,94301-1138,6001.000000000000000
213830,LP,20451018,1.000000000000000,201380.000000000000000,1356.093534657358077,179.869275166129398,SUNNYVALE,241,,CA,,BEEMER,AV,,94086-4911,9002.000000000000000
213862,AP,12048004,1.000000000000000,479882.000000000000000,165.800954780284911,55.015888236576401,PALO ALTO,707,,CA,,BRYANT,ST,209,94301-2506,6001.000000000000000
213915,LP,43407019,2.000000000000000,295579.000000000000000,901.079265259966405,146.997909963484062,SAN JOSE,1070,,CA,,ALMADEN,AV,,95110-3337,17193.000000000000000
213939,LP,21310061,1.000000000000000,159367.000000000000000,952.527289226358789,125.881939914556511,SUNNYVALE,668,,CA,,TIMBERPINE,AV,,94086-8334,9023.000000000000000
213943,LP,45641029,1.000000000000000,450465.000000000000000,14333.154342472191274,506.221348358787282,SAN JOSE,2969,,CA,,DAYLIGHT,WY,,95111,17030.000000000000000
214016,AP,12437051,1.000000000000000,480427.000000000000000,1671.890656525668419,213.654280106769193,PALO ALTO,153,,CA,,CALIFORNIA,AV,F205,94306-1926,6001.000000000000000
214047,AP,15337089,1.000000000000000,461821.000000000000000,221.358287839503532,74.787352386596254,MOUNTAIN VIEW,928,,CA,,WRIGHT,AV,207,94043-4657,5010.000000000000000
214082,LP,45593076,1.000000000000000,421107.000000000000000,455.651061059262190,88.609452090361700,SAN JOSE,3098,,CA,,VALLEY OF HEARTS DEL,PL,,95136,17030.000000000000000
214083,LP,67838030,1.000000000000000,165045.000000000000000,647.435501851843242,107.384546186320748,SAN JOSE,5486,,CA,,MAYLAND,AV,,95138-1515,17064.000000000000000
214147,LP,25931067,2.000000000000000,438042.000000000000000,3578.673140835479444,272.492879705672408,SAN JOSE,211,,CA,W,ST JOHN,ST,,95110,17095.000000000000000
214155,LP,72603083,1.000000000000000,440412.000000000000000,216.402154104729760,57.725375309693064,MORGAN HILL,397,,CA,,CREEKVIEW,DR,,95037-4626,4002.000000000000000
214172,LP,14833052,1.000000000000000,450848.000000000000000,231.321964850045703,64.262977217149697,MOUNTAIN VIEW,2221,,CA,,MORA,PL,,94040,5000.000000000000000
214173,LP,13213053,1.000000000000000,401794.000000000000000,1014.749939772459470,144.105201494342055,PALO ALTO,2719,,CA,,BRYANT,ST,,94306-2309,6001.000000000000000
214210,LP,15325016,1.000000000000000,98095.000000000000000,178.501362431376748,63.325439136957854,MOUNTAIN VIEW,451,,CA,N,SHORELINE,BL,2,94043,5010.000000000000000
214220,LP,22018018,1.000000000000000,68838.000000000000000,1064.869651930609280,140.305398068838258,SANTA CLARA,2332,,CA,,NOBILI,AV,,95051-1412,7014.000000000000000
214221,LP,15829092,1.000000000000000,338718.000000000000000,1099.922196506106502,134.135727015367138,MOUNTAIN VIEW,295,,CA,,VELARDE,ST,,94041-2241,5000.000000000000000
214254,LP,12014092,2.000000000000000,339069.000000000000000,812.200283191139079,122.948020463152844,PALO ALTO,361,,CA,,LYTTON,AV,,94301-1431,6001.000000000000000
214283,LP,15840006,1.000000000000000,87180.000000000000000,101.988153259412911,44.375434330889512,MOUNTAIN VIEW,280,,CA,,ORCHARD,AV,F,94043-4880,5010.000000000000000
214284,AP,14761001,1.000000000000000,462766.000000000000000,99.192860568536005,42.496078232566177,PALO ALTO,4268,,CA,,PONCE,DR,,94306-4632,6012.000000000000000
214304,LP,14812007,1.000000000000000,385182.000000000000000,1454.279103355794405,160.601204393812282,PALO ALTO,4337,,CA,,SILVA,AV,,94306-4401,6057.000000000000000
214342,LP,15835091,1.000000000000000,419946.000000000000000,150.554087486192202,53.428983121951475,MOUNTAIN VIEW,371,,CA,W,EVELYN,AV,,94041,5000.000000000000000
214345,AP,15337142,1.000000000000000,464884.000000000000000,221.710048036210168,74.902739253581274,MOUNTAIN VIEW,928,,CA,,WRIGHT,AV,1104,94043-4656,5010.000000000000000
214346,AP,43440031,1.000000000000000,483149.000000000000000,133.259485496095408,56.316899834954093,SAN JOSE,262,,CA,,SHADOW RUN,DR,,95110-3554,17193.000000000000000
214362,LP,15812051,1.000000000000000,244306.000000000000000,6204.662505958517613,438.767280714437902,MOUNTAIN VIEW,850,,CA,,CALIFORNIA,ST,,94041-1270,5097.000000000000000
214375,LP,43427027,1.000000000000000,437164.000000000000000,2677.367059963166412,255.095530718911334,SAN JOSE,497,,CA,,DAWSON,AV,,95125-1219,17108.000000000000000
214384,LP,21665035,1.000000000000000,188412.000000000000000,79.507486665759998,43.680824667443495,SANTA CLARA,3030,,CA,,LAMORY,PL,,95051,7079.000000000000000
214398,LP,82502038,1.000000000000000,44160.000000000000000,1272.407709056649537,158.990661663762580,SAN MARTIN,13265,,CA,,LINCOLN,AV,,95046,87076.000000000000000
214418,LP,43402061,1.000000000000000,354383.000000000000000,1380.609236122589891,182.718362321715517,SAN JOSE,1373,,CA,,SPENCER,AV,,95125-1757,17108.000000000000000
214427,AP,12068028,1.000000000000000,479609.000000000000000,124.970362259475365,56.485160142080339,PALO ALTO,436,,CA,,HIGH,ST,304,94301-1647,6001.000000000000000
214443,LP,14734043,1.000000000000000,209859.000000000000000,1245.640573128110645,153.941258126298493,MOUNTAIN VIEW,2427,,CA,,PARKER,CT,,94043-4128,5010.000000000000000
214456,LP,20440046,1.000000000000000,261283.000000000000000,735.598211821211862,115.104239984376562,SUNNYVALE,365,,CA,E,ARQUES,AV,,94085-4339,9002.000000000000000
214502,AP,26163079,1.000000000000000,473954.000000000000000,10459.687313404856468,423.014836257242450,SAN JOSE,88,,CA,,BUSH,ST,2157,95126,17108.000000000000000
214507,LP,14829002,1.000000000000000,234521.000000000000000,1093.458805682301545,143.525114304807062,MOUNTAIN VIEW,2403,,CA,,GABRIEL,AV,,94040-1417,5009.000000000000000
214514,LP,72603066,1.000000000000000,195718.000000000000000,196.350201131551103,70.743169415867470,MORGAN HILL,17054,,CA,,CREEKSIDE,CL,,95037,4002.000000000000000
214543,LP,72626082,1.000000000000000,96918.000000000000000,484.767312489055939,101.722234118883023,MORGAN HILL,17760,,CA,,CALLE GRANADA,,,95037,4002.000000000000000
214545,LP,21662010,1.000000000000000,423716.000000000000000,78.996032409045014,43.448781841458704,SANTA CLARA,2924,,CA,,FELIZ,RD,192,95051,7079.000000000000000
214548,LP,43409131,1.000000000000000,173613.000000000000000,910.371569473720911,149.482132117202099,SAN JOSE,1255,,CA,,PLUM,ST,,95110-3418,17193.000000000000000
214617,AP,21350098,1.000000000000000,461373.000000000000000,120.425584355572767,49.086455268420721,SUNNYVALE,1107,,CA,,REED,AV,B,94086-6874,9022.000000000000000
214659,AP,12074003,1.000000000000000,479816.000000000000000,2213.741052910636427,335.375135495727932,PALO ALTO,265,,CA,,LYTTON,AV,3,94301,6001.000000000000000
214662,LP,13225027,4.000000000000000,158065.000000000000000,1208.794893906935386,151.009131948279588,PALO ALTO,2745,,CA,,ALMA,ST,,94306-2303,6001.000000000000000
