FID,ap_lp,apn,number_of_,objectid,shape_area,shape_leng,situs_city,situs_hous,situs_ho_2,situs_stat,situs_stre,situs_st_2,situs_st_3,situs_unit,situs_zip_,tax_rate_a
6,LP,12427015,1.000000000000000,242222.000000000000000,1107.169300242110012,153.622285778074797,PALO ALTO,261,,CA,,STANFORD,AV,,94306-1145,6001.000000000000000
38,LP,49701008,2.000000000000000,150114.000000000000000,8983.603770422911111,411.524563206311200,SAN JOSE,132,,CA,,RANCHO,DR,,95111-3473,17038.000000000000000
39,LP,14716083,1.000000000000000,242210.000000000000000,890.292106532187518,128.843954202870862,MOUNTAIN VIEW,353,,CA,,ALDEAN,AV,,94043-4102,5010.000000000000000
58,LP,67837074,1.000000000000000,168038.000000000000000,1032.337210425902413,141.613842619114308,SAN JOSE,5543,,CA,,CENTURY MANOR,CT,,95111-1808,17064.000000000000000
68,LP,12411024,1.000000000000000,154242.000000000000000,1071.187080356794013,137.790670199853338,PALO ALTO,2398,,CA,,WAVERLEY,ST,,94301-4143,6001.000000000000000
73,LP,43427032,1.000000000000000,390220.000000000000000,1482.704248623072090,186.470672794550467,SAN JOSE,1545,,CA,,MACKEY,AV,,95125-1247,17108.000000000000000
126,LP,14729076,1.000000000000000,4876.000000000000000,751.544384837825191,116.654893099521757,MOUNTAIN VIEW,363,,CA,,ANNA,AV,,94043-4103,5010.000000000000000
131,LP,14722056,1.000000000000000,326552.000000000000000,783.085063780267319,119.975377302478790,MOUNTAIN VIEW,2485,,CA,,BETLO,AV,,94043-4105,5010.000000000000000
154,LP,43428118,1.000000000000000,114631.000000000000000,1649.006709178879191,200.826812899437698,SAN JOSE,1596,,CA,,CREEK,DR,,95125-1835,17108.000000000000000
167,LP,,0.000000000000000,321199.000000000000000,7950.219906100606750,412.903730492563284,,,,,,,,,,0.000000000000000
189,AP,43440026,1.000000000000000,483144.000000000000000,947.126009981945685,222.634904300598009,SAN JOSE,272,,CA,,SHADOW RUN,DR,,95110-3554,17193.000000000000000
203,AP,49719002,1.000000000000000,487390.000000000000000,567.510521705092401,104.245545005877972,SAN JOSE,3239,,CA,,KENHILL,DR,,95111-3254,17031.000000000000000
205,LP,12419103,1.000000000000000,177668.000000000000000,830.200252629424995,130.593642295572181,PALO ALTO,2180,,CA,,HIGH,ST,,94301-3927,6001.000000000000000
234,LP,72652038,1.000000000000000,413693.000000000000000,158.319062503279980,55.831624996970184,MORGAN HILL,17045,,CA,,SAINT CECILIA,LN,,95037,4002.000000000000000
236,LP,14824027,1.000000000000000,238815.000000000000000,77.309423862649027,39.699581387307390,MOUNTAIN VIEW,2009,,CA,,SHOWERS,DR,2,94040,5009.000000000000000
259,LP,14723052,1.000000000000000,117411.000000000000000,1025.010692811277750,129.920242884208847,MOUNTAIN VIEW,2455,,CA,,BENJAMIN,DR,,94043-2709,5010.000000000000000
273,AP,49721017,1.000000000000000,487838.000000000000000,725.288826936712326,117.073875691061062,SAN JOSE,245,,CA,,KENBROOK,CL,105,95111-3261,17031.000000000000000
360,LP,25938135,1.000000000000000,175916.000000000000000,202.643247256694963,113.266226655646363,SAN JOSE,58,,CA,S,AUTUMN,ST,,95110-2515,17213.000000000000000
380,LP,76708055,1.000000000000000,437926.000000000000000,306.966740538907572,73.783629747612608,MORGAN HILL,23,,CA,,HENCKEN OAKS,LN,,95037,4001.000000000000000
412,LP,16515062,1.000000000000000,70661.000000000000000,884.445555933077344,130.435751926413218,SUNNYVALE,135,,CA,,FLORENCE,ST,,94086-6004,9002.000000000000000
428,LP,14833005,1.000000000000000,330999.000000000000000,4966.788500359177306,322.062036223205496,MOUNTAIN VIEW,2260,,CA,,CALIFORNIA,ST,,94040-1554,5000.000000000000000
431,LP,20905024,1.000000000000000,57685.000000000000000,2675.006093482885262,266.990637243616561,SUNNYVALE,183,,CA,S,BAYVIEW,AV,,94086-6215,9002.000000000000000
460,LP,22020038,1.000000000000000,202299.000000000000000,1560.954240437969702,159.236375744825381,SANTA CLARA,3369,,CA,,ST MARYS,PL,,95051-1525,7014.000000000000000
475,LP,12430056,1.000000000000000,237579.000000000000000,1106.179740076058351,153.529719785554079,PALO ALTO,190,,CA,,PARK,AV,,94306-1107,6001.000000000000000
482,AP,12016077,1.000000000000000,479588.000000000000000,227.561311075351881,78.090818298994776,PALO ALTO,483,,CA,,FOREST,AV,B,94301-2632,6001.000000000000000
499,LP,15830067,1.000000000000000,309956.000000000000000,1073.785949317544691,151.448551603033792,MOUNTAIN VIEW,415,,CA,W,DANA,ST,,94041-1337,5000.000000000000000
554,LP,43409133,1.000000000000000,178124.000000000000000,983.506889464233041,142.500632600409290,SAN JOSE,1202,,CA,,ALMADEN,AV,,95110-3333,17193.000000000000000
560,LP,43427055,1.000000000000000,165338.000000000000000,930.655737190975628,130.377423718060271,SAN JOSE,1636,,CA,,MACKEY,AV,,95125-1248,17108.000000000000000
605,LP,13218036,1.000000000000000,401885.000000000000000,1199.884449293789203,150.243496393332322,PALO ALTO,2577,,CA,,RAMONA,ST,,94301-4237,6001.000000000000000
622,LP,25913087,2.000000000000000,334330.000000000000000,4620.161759756078027,281.229932305394300,SAN JOSE,590,,CA,,COLEMAN,AV,,95110-2008,17108.000000000000000
623,LP,22019039,1.000000000000000,45609.000000000000000,1717.256608803591917,175.965376276343221,SANTA CLARA,3472,,CA,,COOPER,DR,,95051-1519,7014.000000000000000
673,LP,25938113,1.000000000000000,121015.000000000000000,836.319297697382012,125.940174501456056,SAN JOSE,74,,CA,S,AUTUMN,ST,,95110-2513,17213.000000000000000
688,LP,21373006,1.000000000000000,410903.000000000000000,117.711297470842155,46.275900731702002,SUNNYVALE,1185,,CA,,BUTTERCUP,TR,,94086,9002.000000000000000
727,LP,26448120,1.000000000000000,197402.000000000000000,724.209123848111062,119.442052930606252,SAN JOSE,481,,CA,,WILLOW,ST,,95125-5703,17193.000000000000000
743,LP,26107010,1.000000000000000,329438.000000000000000,748.570914414972322,134.252660845689093,SAN JOSE,825,,CA,,SCHIELE,AV,,95126-2422,17108.000000000000000
773,LP,22015031,1.000000000000000,27281.000000000000000,917.971497859511828,125.854142981435061,SANTA CLARA,3454,,CA,,NOTRE DAME,DR,,95051-1517,7014.000000000000000
779,LP,20910060,1.000000000000000,24557.000000000000000,1758.341223634883590,166.258138493940692,SUNNYVALE,,,CA,,MC KINLEY,AV,,94086,9168.000000000000000
786,LP,12033002,1.000000000000000,59808.000000000000000,894.599463361196740,131.646553567873866,PALO ALTO,81,,CA,,ENCINA,AV,,94301-2322,6001.000000000000000
815,LP,12418078,1.000000000000000,39963.000000000000000,1107.161520149395528,153.647327462228020,PALO ALTO,227,,CA,,RINCONADA,AV,,94301-3728,6001.000000000000000
837,AP,13254035,1.000000000000000,480748.000000000000000,118.244466949894246,46.140131685746844,PALO ALTO,410,,CA,,SHERIDAN,AV,335,94306-2020,6001.000000000000000
856,LP,67837064,1.000000000000000,355200.000000000000000,1137.501323248167637,146.369647098569629,SAN JOSE,5499,,CA,,CENTURY PARK,WY,,95111-1817,17064.000000000000000
885,LP,14826010,1.000000000000000,252301.000000000000000,283.982333532941652,75.464254345086061,MOUNTAIN VIEW,125,,CA,,CONCORD,CL,,94040,5009.000000000000000
926,LP,26426101,1.000000000000000,102674.000000000000000,5241.117076965607339,305.736603200061211,SAN JOSE,365,,CA,,DELMAS,AV,,95126-3626,17193.000000000000000
936,LP,72651002,1.000000000000000,435287.000000000000000,117.985728389429823,43.857685954978180,MORGAN HILL,186,,CA,,TRIGGS,LN,,95037,4002.000000000000000
962,LP,26448005,1.000000000000000,157267.000000000000000,1845.044451707429744,216.409306071261085,SAN JOSE,385,,CA,,WILLOW,ST,,95110-3225,17193.000000000000000
977,LP,12026071,1.000000000000000,346395.000000000000000,679.246939975985924,112.231705003180082,PALO ALTO,536,,CA,,RAMONA,ST,,94301-1709,6001.000000000000000
1014,LP,25929001,1.000000000000000,141623.000000000000000,2681.987668033297268,207.978193319078059,SAN JOSE,525,,CA,W,ST JOHN,ST,,95110-2346,17095.000000000000000
1025,LP,20445063,1.000000000000000,336328.000000000000000,594.089533128193466,123.846269690045432,SUNNYVALE,481,,CA,E,CALIFORNIA,AV,,94086-5107,9002.000000000000000
1027,AP,15850123,1.000000000000000,469172.000000000000000,88.009438801206556,38.707583797102870,MOUNTAIN VIEW,500,,CA,W,MIDDLEFIELD,RD,123,94043-3429,5010.000000000000000
1042,LP,43408015,1.000000000000000,285985.000000000000000,728.796649973022227,125.673654245505631,SAN JOSE,1184,,CA,,ALMADEN,AV,,95110-3332,17193.000000000000000
1059,LP,13213036,1.000000000000000,401924.000000000000000,594.989550952291552,126.415278362273867,PALO ALTO,2644,,CA,,SOUTH,CT,,94306-2433,6001.000000000000000
1062,LP,12418093,2.000000000000000,384865.000000000000000,1476.046516922249339,192.043491115060789,PALO ALTO,143,,CA,,RINCONADA,AV,,94301-3726,6001.000000000000000
1077,LP,72610053,1.000000000000000,302348.000000000000000,1180.508032184934336,138.476491973901375,MORGAN HILL,580,,CA,,CAPRICE,CT,,95037-3721,4003.000000000000000
1086,AP,49706039,1.000000000000000,487774.000000000000000,657.501391708695110,130.336990284745866,SAN JOSE,95,,CA,,RANCHO,DR,D,95111-4447,17038.000000000000000
1093,LP,21372032,1.000000000000000,403187.000000000000000,143.044696717767550,48.816829530040373,SUNNYVALE,488,,CA,,VALLEY OAK,TR,,94086,9002.000000000000000
1098,LP,,0.000000000000000,459553.000000000000000,778.225318601895424,300.112505125265727,,,,,,,,,,0.000000000000000
1127,LP,25947034,1.000000000000000,398525.000000000000000,711.627002409259035,123.472851527068045,SAN JOSE,525,,CA,W,SAN CARLOS,ST,,95126-3649,17193.000000000000000
1128,LP,12419081,1.000000000000000,86278.000000000000000,1107.040453218452967,153.640463700197358,PALO ALTO,231,,CA,,WASHINGTON,AV,,94301-3950,6001.000000000000000
1137,LP,26137027,1.000000000000000,437968.000000000000000,8343.577151014587798,558.043326172214506,SAN JOSE,,,CA,W,SAN CARLOS,ST,,95126,17193.000000000000000
1144,LP,84111055,1.000000000000000,322292.000000000000000,1167.670489645855014,137.562536447096790,GILROY,570,,CA,E,7TH,ST,,95020-6219,2000.000000000000000
1147,LP,22018013,1.000000000000000,36866.000000000000000,1132.463982070261864,144.637752851798098,SANTA CLARA,2392,,CA,,NOBILI,AV,,95051-1412,7014.000000000000000
1157,LP,21664001,1.000000000000000,458871.000000000000000,117.094303631917100,53.410062114899326,SANTA CLARA,3370,,CA,,EICHERS,PL,112,95051,7079.000000000000000
1160,LP,13226079,1.000000000000000,422477.000000000000000,818.511773955459944,158.793323278679679,PALO ALTO,,,CA,,PARK,BL,,94306-2233,6001.000000000000000
1169,AP,12011016,1.000000000000000,479870.000000000000000,3176.183431111701793,553.289041077723255,PALO ALTO,325,,CA,,CHANNING,AV,109,94301-2766,6001.000000000000000
1184,LP,72606045,1.000000000000000,317065.000000000000000,1102.262600828619043,133.556572249474016,MORGAN HILL,17160,,CA,,ROSEMARY,CL,,95037,4002.000000000000000
1208,LP,79932041,1.000000000000000,114763.000000000000000,788.274067146772040,122.617400142287394,GILROY,212,,CA,W,10TH,ST,,95020-6503,2001.000000000000000
1218,LP,79918056,2.000000000000000,236287.000000000000000,1020.658935683398568,144.961031406579934,GILROY,7420,,CA,,HANNA,ST,,95020-5724,2000.000000000000000
1251,LP,15856019,1.000000000000000,422490.000000000000000,239.745479535946004,62.336553195806282,MOUNTAIN VIEW,220,,CA,,PINE,WY,,94041,5000.000000000000000
1311,LP,79907006,1.000000000000000,333611.000000000000000,823.433885325394158,137.637501784283614,GILROY,7431,,CA,,CHURCH,ST,,95020-5707,2000.000000000000000
1314,LP,68462040,1.000000000000000,14945.000000000000000,165.680047231562526,54.945805467490061,SAN JOSE,5338,,CA,,MONTEREY,RD,5,95111-4230,17184.000000000000000
1337,LP,12014123,1.000000000000000,208756.000000000000000,467.296571131351470,86.627709485421718,PALO ALTO,313,,CA,,EVERETT,AV,,94301-1418,6001.000000000000000
1343,LP,23016002,1.000000000000000,59132.000000000000000,1013.917841962216926,156.041220020258265,SANTA CLARA,1228,,CA,,SHERWOOD,AV,,95050-6032,7000.000000000000000
1348,LP,72610061,1.000000000000000,357309.000000000000000,1658.855130738222442,239.296311033401224,MORGAN HILL,535,,CA,,DIANA,AV,,95037-4407,4003.000000000000000
1361,LP,43427080,1.000000000000000,262443.000000000000000,1201.486439893067882,150.502736127005164,SAN JOSE,1675,,CA,,CROSS,WY,,95125-1217,17108.000000000000000
1370,AP,14814014,1.000000000000000,462373.000000000000000,108.009166960888621,43.255510486820739,MOUNTAIN VIEW,181,,CA,,DEL MEDIO,AV,114,94040-1004,5009.000000000000000
1412,AP,12071041,1.000000000000000,479655.000000000000000,187.192139764347843,56.908818214630813,PALO ALTO,800,,CA,,HIGH,ST,314,94301,6001.000000000000000
1432,LP,84103079,1.000000000000000,97922.000000000000000,1971.434008896983642,185.012832497219819,GILROY,7670,,CA,,FOREST,ST,,95020-5202,2000.000000000000000
1454,LP,14710013,1.000000000000000,160550.000000000000000,813.022551150707045,122.282016099133131,MOUNTAIN VIEW,2515,,CA,,ALVIN,ST,,94043-2707,5010.000000000000000
1469,LP,14710015,1.000000000000000,283494.000000000000000,866.075792653357098,128.027891790611932,MOUNTAIN VIEW,2507,,CA,,ALVIN,ST,,94043-2707,5010.000000000000000
1511,AP,26163008,1.000000000000000,473545.000000000000000,10459.687313404856468,423.014836257242450,SAN JOSE,88,,CA,,BUSH,ST,1126,95126,17108.000000000000000
1520,AP,25959294,1.000000000000000,471946.000000000000000,3122.636897007521839,314.306556055763792,SAN JOSE,38,,CA,N,ALMADEN,BL,1915,95110,17111.000000000000000
1540,AP,12437049,1.000000000000000,480425.000000000000000,1671.890656525668419,213.654280106769193,PALO ALTO,153,,CA,,CALIFORNIA,AV,F201,94306-1949,6001.000000000000000
1550,LP,15026004,1.000000000000000,268694.000000000000000,7792.905835899291560,384.713904705748575,MOUNTAIN VIEW,1265,,CA,,MONTECITO,AV,,94043-4506,5010.000000000000000
1556,LP,13208089,1.000000000000000,302524.000000000000000,850.671102281840490,127.008208831224209,PALO ALTO,2671,,CA,,KIPLING,ST,,94306-2426,6001.000000000000000
1559,LP,79910045,1.000000000000000,402515.000000000000000,1036.103135145653596,146.574723143323382,GILROY,7150,,CA,,EIGLEBERRY,ST,,95020-6416,2000.000000000000000
1566,LP,21373008,1.000000000000000,410916.000000000000000,115.485709509264552,45.670705963307114,SUNNYVALE,1189,,CA,,BUTTERCUP,TR,,94086,9002.000000000000000
1603,LP,84109031,1.000000000000000,376731.000000000000000,1313.613296284711851,160.351352201623939,GILROY,7331,,CA,,MAPLE,ST,,95020-6212,2000.000000000000000
1615,LP,21371018,1.000000000000000,372488.000000000000000,145.617775114579842,50.283089192319125,SUNNYVALE,486,,CA,,TAN OAK,TR,,94086,9022.000000000000000
1638,AP,43439005,1.000000000000000,483060.000000000000000,132.274802077411834,53.392209751281754,SAN JOSE,344,,CA,,SHADOW RUN,DR,,95110-3547,17193.000000000000000
1646,LP,79912009,1.000000000000000,236424.000000000000000,1028.110556312757581,145.741144937591571,GILROY,7011,,CA,,ROSANNA,ST,,95020-6435,2000.000000000000000
1651,AP,14819088,1.000000000000000,462662.000000000000000,159.362922877565950,50.707665817375663,MOUNTAIN VIEW,2255,,CA,,SHOWERS,DR,254,94040,5009.000000000000000
1662,LP,79904008,1.000000000000000,186279.000000000000000,3436.621225463529299,234.762579662590497,GILROY,7601,,CA,,MONTEREY,RD,,95020,2000.000000000000000
1674,LP,13214021,1.000000000000000,351531.000000000000000,1100.664127075717943,144.857138293214291,PALO ALTO,2829,,CA,,SOUTH,CT,,94306,6001.000000000000000
1718,LP,25945056,1.000000000000000,206141.000000000000000,865.775506596560376,139.327351822094784,SAN JOSE,410,,CA,W,SAN FERNANDO,ST,,95110-2526,17193.000000000000000
1843,LP,26415022,0.000000000000000,264748.000000000000000,224.214861449646833,71.536714705332002,,,,,,,,,,17193.000000000000000
1870,LP,12027056,2.000000000000000,149467.000000000000000,849.045062774462622,126.840864800328418,PALO ALTO,746,,CA,,BRYANT,ST,,94301-2509,6001.000000000000000
1912,LP,15822012,1.000000000000000,392449.000000000000000,611.912096573965187,102.120703976686968,MOUNTAIN VIEW,735,,CA,,VILLA,ST,,94041-1326,5097.000000000000000
1971,AP,21350018,1.000000000000000,461078.000000000000000,126.604949209437081,49.908269503888299,SUNNYVALE,1089,,CA,,REED,AV,B,94086-6816,9022.000000000000000
1982,AP,43446048,1.000000000000000,484582.000000000000000,205.883715837017803,58.507354821425814,SAN JOSE,1375,,CA,,LICK,AV,525,95110,17193.000000000000000
1990,LP,14822005,1.000000000000000,433645.000000000000000,1454.214146036894363,172.504811886816469,MOUNTAIN VIEW,365,,CA,,SAN ANTONIO,RD,,94040-1213,5009.000000000000000
2022,LP,,0.000000000000000,447164.000000000000000,370.360703907179413,202.071279143059030,,,,,,,,,,0.000000000000000
2046,LP,15841005,1.000000000000000,133811.000000000000000,150.282875343738624,52.300459568213775,MOUNTAIN VIEW,620,,CA,,WILLOWGATE,,5,94043-4881,5010.000000000000000
2085,LP,14776008,1.000000000000000,142806.000000000000000,156.145914870402834,62.290168719484072,PALO ALTO,114,,CA,,FERNE,AV,,94306-4644,6012.000000000000000
2090,AP,43439040,1.000000000000000,483121.000000000000000,135.141015344599111,53.882836688339665,SAN JOSE,277,,CA,,SHADOW DANCE,DR,,95110-3552,17193.000000000000000
2097,LP,21350069,1.000000000000000,250571.000000000000000,105.069530232455875,43.138344007466060,SUNNYVALE,1129,,CA,,REED,AV,A,94086-6829,9022.000000000000000
2113,LP,,0.000000000000000,206026.000000000000000,986.238417204964207,255.034883516718423,,,,,,,,,,0.000000000000000
2114,LP,43431114,1.000000000000000,406495.000000000000000,1498.947994859020582,176.354879931568007,SAN JOSE,1550,,CA,,CARMEL,DR,,95125-1869,17108.000000000000000
2187,AP,43446101,1.000000000000000,484830.000000000000000,205.094423441435822,58.438443967366517,SAN JOSE,1375,,CA,,LICK,AV,1023,95110,17193.000000000000000
2189,LP,12419044,1.000000000000000,366203.000000000000000,738.099254198618610,115.245604613127057,PALO ALTO,171,,CA,,SANTA RITA,AV,,94301-3937,6001.000000000000000
2197,LP,26158021,1.000000000000000,73965.000000000000000,209.169589796048200,63.249446143971625,SAN JOSE,120,,CA,,SUNOL,ST,,95126,17193.000000000000000
2219,AP,15846201,1.000000000000000,464727.000000000000000,153.083531704833291,57.142383420590740,MOUNTAIN VIEW,505,,CA,,CYPRESS POINT,DR,201,94043-4847,5010.000000000000000
2220,AP,43444007,1.000000000000000,484915.000000000000000,154.168315327975819,51.318262666645339,SAN JOSE,1384,,CA,,PALM,ST,,95110-3300,17193.000000000000000
2235,LP,43419061,1.000000000000000,436746.000000000000000,454.113290279002342,87.937575720369026,SAN JOSE,549,,CA,,FALCON,PL,,95125,17108.000000000000000
2236,LP,20449020,4.000000000000000,153293.000000000000000,1999.783418087691871,185.480785074702055,SUNNYVALE,140,,CA,N,MURPHY,AV,,94086-5060,9002.000000000000000
2239,LP,12010044,1.000000000000000,317819.000000000000000,978.394243701531650,140.298920556749607,PALO ALTO,343,,CA,,COWPER,ST,,94301-1502,6001.000000000000000
2241,LP,15823076,1.000000000000000,1961.000000000000000,1165.882613800712988,158.177377394828284,MOUNTAIN VIEW,471,,CA,,VIEW,ST,,94041-2043,5000.000000000000000
2276,LP,67832036,1.000000000000000,365097.000000000000000,877.850787636023824,123.810401012713996,SAN JOSE,463,,CA,,CENTURY OAKS,WY,,95111-1812,17064.000000000000000
2297,AP,49706026,1.000000000000000,487745.000000000000000,657.495146715336546,130.386886867345595,SAN JOSE,85,,CA,,RANCHO,DR,G,95111-4444,17038.000000000000000
2319,LP,84153038,1.000000000000000,280461.000000000000000,508.950309913372564,99.315073691265241,GILROY,462,,CA,,HADLEY,CT,,95020-5839,2000.000000000000000
2354,LP,14722104,2.000000000000000,256480.000000000000000,1123.441027894923536,140.615641829675212,MOUNTAIN VIEW,2488,,CA,,WHITNEY,DR,B,94043-4143,5010.000000000000000
2358,LP,43414039,1.000000000000000,330547.000000000000000,1308.045601066246491,155.480599423238573,SAN JOSE,410,,CA,,BELMONT,WY,,95125,17108.000000000000000
2368,LP,14735005,1.000000000000000,59859.000000000000000,1106.761229539809165,130.916574726429019,MOUNTAIN VIEW,208,,CA,,THOMPSON SQUARE,,,94043-4219,5010.000000000000000
2394,LP,12027047,7.000000000000000,358382.000000000000000,4263.212453513907349,291.956871663268316,PALO ALTO,160,,CA,,FOREST,AV,,94301-1614,6001.000000000000000
2418,LP,21372068,1.000000000000000,407134.000000000000000,149.168428368935821,49.995021454248608,SUNNYVALE,487,,CA,,TEXAS OAK,TR,,94086,9002.000000000000000
2421,LP,72603059,1.000000000000000,195719.000000000000000,204.804247253038568,73.299637390338347,MORGAN HILL,419,,CA,,CREEKSIDE,LN,,95037-4614,4002.000000000000000
2433,LP,21655015,1.000000000000000,127484.000000000000000,224.607498828277528,61.422444392167812,SUNNYVALE,1296,,CA,,KIFER,RD,602,94086,9002.000000000000000
2444,LP,72609033,1.000000000000000,416018.000000000000000,1131.536566566814827,143.448394450376099,MORGAN HILL,681,,CA,,JULIANN,WY,,95037-4408,4002.000000000000000
2462,LP,79910034,1.000000000000000,5211.000000000000000,2051.702826923323755,184.084078118302756,GILROY,7161,,CA,,MONTEREY,ST,,95020,2000.000000000000000
2465,LP,12025013,1.000000000000000,100449.000000000000000,771.663711464848916,118.769459766444513,PALO ALTO,235,,CA,,RAMONA,ST,,94301-1434,6001.000000000000000
2489,LP,67807004,0.000000000000000,447733.000000000000000,10148.486019079889957,599.454974035905593,,,,,,,,,,17055.000000000000000
2502,LP,26107032,1.000000000000000,43304.000000000000000,3269.684120820391399,297.723673031826252,SAN JOSE,1634,,CA,,THE ALAMEDA,,,95126-2309,17108.000000000000000
2514,LP,14819020,1.000000000000000,264392.000000000000000,162.988810578397448,65.232299635966442,MOUNTAIN VIEW,2107,,CA,,SHOWERS,DR,,94040,5009.000000000000000
2546,AP,15846153,1.000000000000000,469046.000000000000000,104.624275264677095,51.675435749841135,MOUNTAIN VIEW,505,,CA,,CYPRESS POINT,DR,153,94043-4841,5010.000000000000000
2583,LP,15823085,1.000000000000000,6822.000000000000000,550.170938048801872,93.919874717521964,MOUNTAIN VIEW,555,,CA,W,DANA,ST,,94041,5000.000000000000000
2601,LP,20451049,1.000000000000000,100895.000000000000000,409.168584521031391,91.400182553038775,SUNNYVALE,349,,CA,,BEEMER,AV,,94086-4913,9002.000000000000000
2651,LP,72616124,1.000000000000000,414539.000000000000000,1037.180760877886769,130.937063499316451,MORGAN HILL,505,,CA,,BEL AIR,WY,,95037,4002.000000000000000
2697,LP,20448036,1.000000000000000,135492.000000000000000,5261.178065042921844,316.109342569010323,SUNNYVALE,174,,CA,N,SUNNYVALE,AV,,94086-5115,9002.000000000000000
2705,LP,,0.000000000000000,6330.000000000000000,1198.747255576854286,158.065531607438231,,,,,,,,,,0.000000000000000
2706,AP,69231010,1.000000000000000,494924.000000000000000,146.404353363372365,53.268495276677946,SAN JOSE,5719,,CA,,MAKATI,CL,A,95123,17063.000000000000000
2718,LP,15820024,1.000000000000000,257777.000000000000000,261.737492141808843,67.815139731986960,MOUNTAIN VIEW,510,,CA,,FRONT,LN,,94041-2591,5000.000000000000000
2740,LP,20450040,1.000000000000000,234222.000000000000000,1171.915191005803081,156.020083669340380,SUNNYVALE,398,,CA,,BEEMER,AV,,94086-4912,9002.000000000000000
2745,LP,72611079,1.000000000000000,138557.000000000000000,1213.709931193932107,144.234498511803594,MORGAN HILL,17225,,CA,,MARKROSS,CT,,95037-3732,4002.000000000000000
2765,AP,15850042,1.000000000000000,469454.000000000000000,169.726703268794040,52.720593279788908,MOUNTAIN VIEW,500,,CA,W,MIDDLEFIELD,RD,42,94043-3411,5010.000000000000000
2776,AP,26163067,1.000000000000000,473898.000000000000000,10459.687313404856468,423.014836257242450,SAN JOSE,88,,CA,,BUSH,ST,2145,95126,17108.000000000000000
2787,LP,15054066,1.000000000000000,305973.000000000000000,222.365714650751613,64.562970215416144,MOUNTAIN VIEW,414,,CA,,MOUNTAIN LAUREL,CT,,94043-5500,5010.000000000000000
2838,LP,14826027,1.000000000000000,431279.000000000000000,395.468896788643121,79.236304542860040,MOUNTAIN VIEW,100,,CA,,CONCORD,CL,,94040,5009.000000000000000
2839,LP,16514007,1.000000000000000,109795.000000000000000,962.655418734250929,138.282800237077879,SUNNYVALE,160,,CA,,FLORENCE,ST,,94086-6003,9002.000000000000000
2843,LP,25944087,0.000000000000000,365349.000000000000000,804.041282148776645,136.245904049569305,,,,,,,,,,17135.000000000000000
2859,LP,21310031,1.000000000000000,174874.000000000000000,816.900070884990328,117.848582188803221,SUNNYVALE,663,,CA,,TOYON,AV,,94086-8454,9023.000000000000000
2912,AP,12059001,1.000000000000000,479662.000000000000000,220.436360097191795,67.651387403943403,PALO ALTO,101,,CA,,EMERSON,ST,,94301-1020,6001.000000000000000
2921,AP,26162030,1.000000000000000,473930.000000000000000,2897.574758970828498,264.708416381611585,SAN JOSE,88,,CA,,BUSH,ST,2189,95126,17108.000000000000000
2933,AP,25959324,1.000000000000000,472220.000000000000000,3122.636897007521839,314.306556055763792,SAN JOSE,38,,CA,N,ALMADEN,BL,2208,95110,17111.000000000000000
2944,LP,72611048,1.000000000000000,52983.000000000000000,1080.358411827822920,136.800848891151020,MORGAN HILL,430,,CA,,CALLE CABEZAL,,,95037-3714,4003.000000000000000
3005,AP,25950091,1.000000000000000,471759.000000000000000,165.568727726730373,54.669529247548525,SAN JOSE,411,,CA,,PARK,AV,311,95110-2654,17193.000000000000000
3011,LP,14831001,1.000000000000000,355272.000000000000000,1087.284296682593322,140.260251355402119,MOUNTAIN VIEW,198,,CA,,ORTEGA,AV,,94040-1440,5009.000000000000000
3019,LP,43402043,1.000000000000000,66377.000000000000000,810.096806722062638,122.910713933620656,SAN JOSE,724,,CA,,DOROTHY,AV,,95125-5725,17108.000000000000000
3056,LP,72623016,1.000000000000000,191037.000000000000000,8809.846575009240041,766.747583401291990,MORGAN HILL,,,CA,E,MAIN,AV,,95037-3624,4001.000000000000000
3067,LP,26906053,1.000000000000000,105740.000000000000000,432.663637255270430,120.789290806063690,SANTA CLARA,,,CA,,ALVISO,ST,,95050-6102,7000.000000000000000
3089,LP,22017005,1.000000000000000,347867.000000000000000,930.889874602570103,125.811092386184754,SANTA CLARA,3524,,CA,,NOTRE DAME,DR,,95051-1414,7014.000000000000000
3161,AP,49718027,1.000000000000000,487869.000000000000000,614.753630100271266,109.794397921037969,SAN JOSE,171,,CA,,KENBROOK,CL,,95111-3257,17031.000000000000000
3237,LP,14810006,1.000000000000000,323422.000000000000000,1701.533071942781817,164.843820743864796,PALO ALTO,4351,,CA,,MILLER,AV,,94306-4411,6015.000000000000000
3278,AP,25950060,1.000000000000000,471512.000000000000000,161.125486682119060,54.329137537332009,SAN JOSE,411,,CA,,PARK,AV,219,95110-2651,17193.000000000000000
3313,LP,,0.000000000000000,457854.000000000000000,969.483883505967697,332.298758366865400,,,,,,,,,,0.000000000000000
3332,LP,49711007,1.000000000000000,295839.000000000000000,1477.860584985064179,158.814779658721875,SAN JOSE,13148,,CA,,POTTS,DR,,95111-3333,17031.000000000000000
3405,AP,20904066,1.000000000000000,470101.000000000000000,155.408110701803537,52.369516489635451,SUNNYVALE,422,,CA,E,EVELYN,AV,X201,94086,9002.000000000000000
3417,LP,,0.000000000000000,456667.000000000000000,3114.972571875882750,933.599894533558768,,,,,,,,,,0.000000000000000
